34870;Drumming Fingers
42227;Zooming Out With Full Hand
110612;Rolling Hand Forward
136255;Pulling Two Fingers In
88172;No gesture
116348;Turning Hand Clockwise
140195;Rolling Hand Forward
9471;Zooming In With Full Hand
145387;Shaking Hand
107270;Zooming Out With Two Fingers
23701;Swiping Up
120652;Pulling Two Fingers In
21788;Rolling Hand Backward
50749;Swiping Left
57225;Thumb Down
120173;Pushing Hand Away
37991;Swiping Up
99009;Doing other things
41993;Sliding Two Fingers Right
92910;Pulling Hand In
72962;Doing other things
125864;Sliding Two Fingers Right
77548;Pushing Two Fingers Away
118947;Pulling Hand In
61201;Shaking Hand
89645;Pushing Hand Away
68395;Rolling Hand Backward
136850;Zooming In With Full Hand
100290;Sliding Two Fingers Up
55531;Swiping Down
54950;Thumb Up
128949;Rolling Hand Backward
64915;Swiping Down
9945;Sliding Two Fingers Up
75688;Doing other things
139380;Pushing Two Fingers Away
105820;Doing other things
125581;Rolling Hand Backward
57972;Sliding Two Fingers Up
28865;Stop Sign
146777;Rolling Hand Backward
30523;No gesture
130455;Rolling Hand Forward
3597;Doing other things
111387;Rolling Hand Forward
97556;Pushing Hand Away
55872;Rolling Hand Forward
132489;Turning Hand Clockwise
93033;Doing other things
110124;Turning Hand Counterclockwise
60237;Swiping Down
61666;Rolling Hand Forward
16253;Turning Hand Counterclockwise
80186;Swiping Left
392;Zooming In With Full Hand
96172;Stop Sign
118687;Doing other things
99659;Rolling Hand Backward
61769;Sliding Two Fingers Right
35831;Pulling Hand In
93913;Sliding Two Fingers Up
122685;Swiping Up
87333;Doing other things
87629;Swiping Left
75987;Pushing Hand Away
29805;Swiping Left
72969;Pulling Hand In
123191;Pushing Hand Away
142360;Doing other things
20217;Turning Hand Counterclockwise
129168;Stop Sign
122477;Sliding Two Fingers Up
43218;Swiping Right
147707;Rolling Hand Backward
88928;Zooming In With Two Fingers
88102;Thumb Down
107516;Doing other things
114730;Zooming In With Full Hand
88328;Thumb Down
744;Stop Sign
123620;Doing other things
31883;Zooming In With Two Fingers
15465;Turning Hand Counterclockwise
25405;Drumming Fingers
86079;Sliding Two Fingers Up
95676;Swiping Left
105949;Swiping Up
29702;Thumb Down
86720;Drumming Fingers
6735;Zooming Out With Full Hand
97680;Thumb Up
35642;Zooming Out With Full Hand
117113;Doing other things
128267;Thumb Down
16620;Zooming Out With Two Fingers
106793;Swiping Left
13989;Pulling Two Fingers In
27812;Doing other things
147248;Shaking Hand
11232;Rolling Hand Backward
35803;Rolling Hand Backward
118410;Swiping Down
145603;Sliding Two Fingers Left
132593;Pulling Hand In
120731;Pushing Hand Away
6807;Turning Hand Counterclockwise
116113;Pushing Two Fingers Away
117207;Doing other things
14016;Zooming In With Two Fingers
134594;Thumb Down
5977;Zooming In With Two Fingers
